Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
114004,1279.356,451.361255779268,323.747996057484,0.875280257906229,BOMBAY
117034,1265.926,425.923787489201,351.215108878648,0.917709597011215,BOMBAY
126503,1326.959,475.772458588913,339.381886771386,0.902808584857203,BOMBAY
128118,1360.135,504.024964188086,,0.870273945673051,BOMBAY
129409,1348.888,484.364424042523,341.17265927397,0.893763393618021,BOMBAY
129807,1356.314,493.241864015179,336.464836914912,0.886722008392524,BOMBAY
130070,1362.228,486.706230185964,343.114783038309,0.880820469536286,BOMBAY
131249,1374.898,521.149246387802,323.790256400521,0.872498937461689,BOMBAY
131488,1368.233,485.892500905497,345.621263514076,0.882624263153514,BOMBAY
132254,1358.189,497.767668367671,339.636341829426,0.900944964968195,BOMBAY
132399,1335.884,486.85956725627,346.580711834641,0.932302979892775,BOMBAY
132851,1369.46,511.975750525365,333.404973189232,0.890176220175937,BOMBAY
132889,1373.51,499.646493011243,339.906839535483,0.885187445911564,BOMBAY
133760,1369.738,481.260782345703,354.625663404636,0.895903256917458,BOMBAY
134012,1385.807,517.764912408516,331.916023685519,0.876895923739363,BOMBAY
134251,1391.532,523.62902093182,327.675520354114,0.871246401809775,BOMBAY
135222,1371.667,495.102409815674,348.78466864566,0.903149900388691,BOMBAY
135403,1381.938,523.255426916915,332.195776337785,0.890965797538538,BOMBAY
135898,1385.644,509.443317612478,341.490063612574,0.889446024262605,BOMBAY
137075,1432.713,526.898061463492,334.117512130015,0.839169547555265,BOMBAY
137115,1427.056,519.199744614898,337.474646280329,0.846082671227339,BOMBAY
137358,1364.645,507.98589043262,345.222851698896,0.926881995315973,BOMBAY
137518,1417.944,519.779999909785,339.930272440102,0.859510631737877,BOMBAY
137748,1389.634,499.37054408853,353.30131422707,0.896384427585557,BOMBAY
137890,1410.302,522.187573890791,338.364471513099,0.871201053715396,BOMBAY
138059,1459.686,540.677822641707,334.166475911383,0.814246127958437,BOMBAY
138114,1368.731,483.717364846748,364.519022519178,0.926427333674667,BOMBAY
138244,1395.699,510.681251463048,346.645391846509,0.891810580829685,BOMBAY
138265,1396.139,512.80635066023,345.18129888335,0.89138393792038,BOMBAY
138659,1415.439,509.827520742515,347.585418338551,0.869712300532553,BOMBAY
138777,1403.006,502.613463997321,353.811411687069,0.885948143345254,BOMBAY
138976,1404.377,509.410076766318,351.648286370599,0.885487133728734,BOMBAY
139523,1410.901,501.721528969716,354.968570748385,0.880770149291496,BOMBAY
139639,1379.183,473.780597924461,376.5502411131,0.922513655189111,BOMBAY
139686,1402.293,508.681948510811,350.946932014329,0.892658229224634,BOMBAY
139841,1430.241,524.802456290007,341.340084910057,0.859064826722476,BOMBAY
140313,1432.029,517.425902305591,347.254304443603,0.859813279585983,BOMBAY
140867,1414.336,500.307775557129,360.177587914464,0.88494022802013,BOMBAY
140964,1425.6,538.238959239073,334.910578845881,0.871611005814772,BOMBAY
141385,1429.427,525.900923981084,344.355118430428,0.869539345447073,BOMBAY
141519,1442.904,523.100668094997,347.09579257032,0.854180672427624,BOMBAY
141850,1432.847,524.923470659625,346.910920078136,0.868239553574425,BOMBAY
141953,1402.05,524.231163330141,346.397499788709,0.907459884938986,BOMBAY
142154,1378.113,501.729374428425,361.669752623301,0.94058768780021,BOMBAY
142238,1425.362,516.44262667839,351.414864530687,0.879782154216826,BOMBAY
142399,1430.275,524.588412345922,347.26177244469,0.874737425779617,BOMBAY
142592,1408.745,519.775635535376,351.292384913806,0.902901239539023,BOMBAY
143603,1405.207,516.019914352016,356.293803068763,0.91388756433941,BOMBAY
144058,1463.258,536.887519610584,343.962839117715,0.845484072603496,BOMBAY
144079,1462.012,534.599462725399,346.330735848132,0.847049274909342,BOMBAY
45504,793.417,295.469830552038,196.311822489367,0.908356724527685,CALI
45666,789.77,274.863357260753,211.885139163381,0.920029114542558,CALI
48373,825.148,313.570416993391,197.898700215162,0.892789725504884,CALI
49245,822.642,301.392790984037,208.346443725869,0.914429542770173,CALI
49882,891.505,357.189003637744,179.834691351015,0.788689675309237,CALI
50954,865.763,330.155473960748,198.461525285675,0.854260063775932,CALI
51643,855.523,307.995611156515,213.62472630489,0.886661696869877,CALI
52448,882.474,336.9594210523,199.005112677773,0.846320690243912,CALI
53609,893.456,354.725433686284,193.354325047014,0.843919905736794,CALI
54076,893.989,342.742424669008,203.259512980502,0.850256720278341,CALI
54137,905.416,356.392671813809,195.437365588814,0.829865519117342,CALI
54343,867.59,303.847955992226,228.016232652836,0.907244614207816,CALI
54680,899.793,353.577638311144,198.314094615926,0.848697942815796,CALI
55501,898.191,345.523159049466,207.029699391333,0.864516475185566,CALI
55544,924.19,357.696701877212,198.22572114613,0.8171927147136,CALI
55549,914.595,348.486195593512,205.189100345911,0.834504078443961,CALI
55608,918.716,348.450155755728,205.406232493872,0.827912766736905,CALI
55722,897.584,318.932335932002,225.008638924029,0.86913323060151,CALI
55938,909.933,347.276479376113,205.530384193876,0.84898099306514,CALI
55972,897.386,342.49191630119,208.795576170726,0.873417943299272,CALI
56270,920.481,374.0994200365,194.092345757816,0.834559148342277,CALI
56376,921.455,350.692292829017,205.398729729478,0.834364582377707,CALI
56627,922.876,356.184029386049,203.045696790107,0.83550049985278,CALI
56675,898.464,344.944190843405,210.225050725562,0.882266993609567,CALI
56679,911.133,355.945836600975,204.891449355457,0.857962864134953,CALI
56834,910.081,341.570324623849,212.391301370174,0.862299217109477,CALI
57017,903.559,349.81190418673,210.801131901642,0.877609255169744,CALI
57017,903.261,355.333937233619,205.457650174467,0.878188424865029,CALI
57391,921.48,362.568607751873,203.701642336702,0.849340490912598,CALI
57549,929.955,362.937399814916,204.554434076819,0.836226214506362,CALI
57617,901.703,344.410926683413,213.781812118172,0.890499082920117,CALI
57786,916.524,331.87501143412,224.934436387568,0.864459822936888,CALI
57853,930.73,358.643490923303,207.242181521304,0.839244151012912,CALI
57862,951.333,372.437030500138,201.992521254669,0.803411753978108,CALI
57907,915.319,360.66095528036,206.695919198068,0.868552300760645,CALI
58094,922.37,350.106237920932,212.855669481216,0.85808597985173,CALI
58102,907.665,334.803581613498,223.866256492737,0.886236775629253,CALI
58252,950.381,363.191034782747,208.03482097625,0.810448110797547,CALI
58634,930.427,351.837467142445,214.94190604348,0.851127802859831,CALI
58740,942.69,370.657450298293,204.003415172111,0.830626927220023,CALI
